job_id,title,role_category,skill_abr
3634090513,Software Engineer,Software Engineering,ENG
3634090513,Software Engineer,Software Engineering,IT
3690835135,Enterprise Business Analyst,Business Analyst / BI,SALE
3690835135,Enterprise Business Analyst,Business Analyst / BI,FIN
3690835135,Enterprise Business Analyst,Business Analyst / BI,PRJM
3692302089,Data Scientist/ Product Analyst ,Data Science / ML,IT
3692362963,Software Engineer- Graphics Designer,Software Engineering,DSGN
3692362963,Software Engineer- Graphics Designer,Software Engineering,ART
3692362963,Software Engineer- Graphics Designer,Software Engineering,IT
3692363778,Data Analytics Consultant,Analytics,RSCH
3692363778,Data Analytics Consultant,Analytics,ANLS
3692363778,Data Analytics Consultant,Analytics,IT
3692370024,IBM TM1 / Planning Analytics Consultants,Analytics,IT
3692370024,IBM TM1 / Planning Analytics Consultants,Analytics,FIN
3692370024,IBM TM1 / Planning Analytics Consultants,Analytics,CNSL
3693043814,Business Analyst,Business Analyst / BI,RSCH
3693043814,Business Analyst,Business Analyst / BI,ANLS
3693043814,Business Analyst,Business Analyst / BI,IT
3693043848,Data Analyst,Data Analyst,IT
3693043848,Data Analyst,Data Analyst,ANLS
3693043848,Data Analyst,Data Analyst,QA
3693043900,Salesforce business Analyst only Local,Business Analyst / BI,
3693043925,Business Analyst- Healthcare,Business Analyst / BI,RSCH
3693043925,Business Analyst- Healthcare,Business Analyst / BI,ANLS
3693043925,Business Analyst- Healthcare,Business Analyst / BI,IT
3693043932,Software Engineer in Test,Software Engineering,ENG
3693043932,Software Engineer in Test,Software Engineering,IT
3693044299,Data Analyst,Data Analyst,IT
3693044310,C++ Software Engineer,Software Engineering,IT
3693044310,C++ Software Engineer,Software Engineering,ENG
3693044317,PL/SQL Developer,Developer,ENG
3693044317,PL/SQL Developer,Developer,IT
3693044376,Business Analyst,Business Analyst / BI,RSCH
3693044376,Business Analyst,Business Analyst / BI,ANLS
3693044376,Business Analyst,Business Analyst / BI,IT
3693044444,Java Developer (Only W2),Developer,
3693044448,Business Analyst - W2 Only,Business Analyst / BI,RSCH
3693044448,Business Analyst - W2 Only,Business Analyst / BI,ANLS
3693044448,Business Analyst - W2 Only,Business Analyst / BI,IT
3693044762,"Business Analyst, Property  ",Business Analyst / BI,ANLS
3693044762,"Business Analyst, Property  ",Business Analyst / BI,ADM
3693044762,"Business Analyst, Property  ",Business Analyst / BI,PRDM
3693044773,Java Software Engineer,Software Engineering,ENG
3693044773,Java Software Engineer,Software Engineering,IT
3693044837,Business Data Analyst,Data Analyst,IT
3693045241,Software Engineer [72302],Software Engineering,IT
3693045241,Software Engineer [72302],Software Engineering,ENG
3693045603,Data Scientist,Data Science / ML,ENG
3693045603,Data Scientist,Data Science / ML,IT
3693045676,Java Software Engineer,Software Engineering,ENG
3693045676,Java Software Engineer,Software Engineering,IT
3693046241,Data Engineer/SQL Developer,Developer,
3693046302,Business Intelligence Developer,Business Analyst / BI,IT
3693046308,"Wholesale Business Analyst - Montvale, NJ (Hybrid)",Business Analyst / BI,
3693046316,Gaming Business Analyst ,Business Analyst / BI,IT
3693046364,Backend Java Developer,Developer,ENG
3693046364,Backend Java Developer,Developer,IT
3693046487,Data Analyst,Data Analyst,ANLS
3693046569,Data Scientist – (Remote),Data Science / ML,PRJM
3693046569,Data Scientist – (Remote),Data Science / ML,IT
3693046569,Data Scientist – (Remote),Data Science / ML,QA
3693046636,java developer W2,Developer,ENG
3693046636,java developer W2,Developer,IT
3693046814,ServiceNow Business Analyst,Business Analyst / BI,RSCH
3693046814,ServiceNow Business Analyst,Business Analyst / BI,ANLS
3693046814,ServiceNow Business Analyst,Business Analyst / BI,IT
3693046938,SQL Developer || Hybrid(Across USA) || W2 only,Developer,IT
