job_id,title,role_category,technical_skill
3634090513,Software Engineer,Software Engineering,SQL
3634090513,Software Engineer,Software Engineering,JavaScript
3634090513,Software Engineer,Software Engineering,AWS
3634090513,Software Engineer,Software Engineering,Git
3634090513,Software Engineer,Software Engineering,Database
3690835135,Enterprise Business Analyst,Business Analyst / BI,Communication
3690835135,Enterprise Business Analyst,Business Analyst / BI,Problem Solving
3692302089,Data Scientist/ Product Analyst ,Data Science / ML,SQL
3692302089,Data Scientist/ Product Analyst ,Data Science / ML,Python
3692302089,Data Scientist/ Product Analyst ,Data Science / ML,Statistics
3692302089,Data Scientist/ Product Analyst ,Data Science / ML,Data Visualization
3692302089,Data Scientist/ Product Analyst ,Data Science / ML,Communication
3692302089,Data Scientist/ Product Analyst ,Data Science / ML,Data Cleaning
3692363778,Data Analytics Consultant,Analytics,Tableau
3692363778,Data Analytics Consultant,Analytics,Power BI
3692363778,Data Analytics Consultant,Analytics,Azure
3692363778,Data Analytics Consultant,Analytics,Snowflake
3692363778,Data Analytics Consultant,Analytics,ETL
3692370024,IBM TM1 / Planning Analytics Consultants,Analytics,Communication
3693043814,Business Analyst,Business Analyst / BI,Azure
3693043848,Data Analyst,Data Analyst,SQL
3693043848,Data Analyst,Data Analyst,Python
3693043848,Data Analyst,Data Analyst,Excel
3693043925,Business Analyst- Healthcare,Business Analyst / BI,SQL
3693043925,Business Analyst- Healthcare,Business Analyst / BI,Excel
3693043925,Business Analyst- Healthcare,Business Analyst / BI,PowerPoint
3693043925,Business Analyst- Healthcare,Business Analyst / BI,Communication
3693044310,C++ Software Engineer,Software Engineering,Git
3693044317,PL/SQL Developer,Developer,SQL
3693044317,PL/SQL Developer,Developer,Java
3693044317,PL/SQL Developer,Developer,Communication
3693044317,PL/SQL Developer,Developer,Database
3693044376,Business Analyst,Business Analyst / BI,Excel
3693044444,Java Developer (Only W2),Developer,Java
3693044448,Business Analyst - W2 Only,Business Analyst / BI,Excel
3693044762,"Business Analyst, Property  ",Business Analyst / BI,Excel
3693044762,"Business Analyst, Property  ",Business Analyst / BI,Tableau
3693044762,"Business Analyst, Property  ",Business Analyst / BI,Power BI
3693044762,"Business Analyst, Property  ",Business Analyst / BI,Communication
3693044762,"Business Analyst, Property  ",Business Analyst / BI,Problem Solving
3693044773,Java Software Engineer,Software Engineering,Java
3693044773,Java Software Engineer,Software Engineering,JavaScript
3693045241,Software Engineer [72302],Software Engineering,Java
3693045603,Data Scientist,Data Science / ML,Python
3693045603,Data Scientist,Data Science / ML,Problem Solving
3693045676,Java Software Engineer,Software Engineering,SQL
3693045676,Java Software Engineer,Software Engineering,Java
3693046241,Data Engineer/SQL Developer,Developer,SQL
3693046241,Data Engineer/SQL Developer,Developer,Excel
3693046241,Data Engineer/SQL Developer,Developer,Power BI
3693046241,Data Engineer/SQL Developer,Developer,Azure
3693046241,Data Engineer/SQL Developer,Developer,Snowflake
3693046302,Business Intelligence Developer,Business Analyst / BI,SQL
3693046302,Business Intelligence Developer,Business Analyst / BI,Azure
3693046302,Business Intelligence Developer,Business Analyst / BI,Data Visualization
3693046302,Business Intelligence Developer,Business Analyst / BI,ETL
3693046302,Business Intelligence Developer,Business Analyst / BI,Database
3693046308,"Wholesale Business Analyst - Montvale, NJ (Hybrid)",Business Analyst / BI,SQL
3693046308,"Wholesale Business Analyst - Montvale, NJ (Hybrid)",Business Analyst / BI,Excel
3693046308,"Wholesale Business Analyst - Montvale, NJ (Hybrid)",Business Analyst / BI,Data Visualization
3693046308,"Wholesale Business Analyst - Montvale, NJ (Hybrid)",Business Analyst / BI,Database
3693046316,Gaming Business Analyst ,Business Analyst / BI,SQL
3693046316,Gaming Business Analyst ,Business Analyst / BI,Excel
3693046316,Gaming Business Analyst ,Business Analyst / BI,Power BI
3693046316,Gaming Business Analyst ,Business Analyst / BI,Communication
3693046316,Gaming Business Analyst ,Business Analyst / BI,Problem Solving
3693046316,Gaming Business Analyst ,Business Analyst / BI,Database
3693046364,Backend Java Developer,Developer,SQL
3693046364,Backend Java Developer,Developer,Java
3693046364,Backend Java Developer,Developer,JavaScript
3693046364,Backend Java Developer,Developer,Communication
3693046487,Data Analyst,Data Analyst,Problem Solving
3693046569,Data Scientist – (Remote),Data Science / ML,SQL
3693046569,Data Scientist – (Remote),Data Science / ML,Python
3693046569,Data Scientist – (Remote),Data Science / ML,Java
3693046569,Data Scientist – (Remote),Data Science / ML,Machine Learning
3693046569,Data Scientist – (Remote),Data Science / ML,Statistics
3693046569,Data Scientist – (Remote),Data Science / ML,SAS
3693046569,Data Scientist – (Remote),Data Science / ML,SPSS
3693046569,Data Scientist – (Remote),Data Science / ML,Communication
3693046569,Data Scientist – (Remote),Data Science / ML,Database
3693046636,java developer W2,Developer,Java
3693046636,java developer W2,Developer,JavaScript
3693046814,ServiceNow Business Analyst,Business Analyst / BI,AWS
3693046814,ServiceNow Business Analyst,Business Analyst / BI,Azure
3693046814,ServiceNow Business Analyst,Business Analyst / BI,Communication
3693046814,ServiceNow Business Analyst,Business Analyst / BI,Problem Solving
3693046938,SQL Developer || Hybrid(Across USA) || W2 only,Developer,SQL
3693046938,SQL Developer || Hybrid(Across USA) || W2 only,Developer,Statistics
3693046938,SQL Developer || Hybrid(Across USA) || W2 only,Developer,Database
3693047014,Data Analyst,Data Analyst,SQL
3693047014,Data Analyst,Data Analyst,Azure
3693047014,Data Analyst,Data Analyst,Communication
3693047014,Data Analyst,Data Analyst,Problem Solving
3693047014,Data Analyst,Data Analyst,Database
3693047544,Data Scientists / AIML Engineer,Data Science / ML,Python
3693047702,"Marketing Sciences, Data Scientist",Data Science / ML,Machine Learning
3693047702,"Marketing Sciences, Data Scientist",Data Science / ML,Statistics
3693047703,Machine Learning Engineer,Data Science / ML,Python
3693047703,Machine Learning Engineer,Data Science / ML,AWS
3693047703,Machine Learning Engineer,Data Science / ML,Pandas
3693047703,Machine Learning Engineer,Data Science / ML,NumPy
3693047703,Machine Learning Engineer,Data Science / ML,Machine Learning
3693047703,Machine Learning Engineer,Data Science / ML,Data Cleaning
3693048213,EDI Business Analyst,Business Analyst / BI,SQL
3693048213,EDI Business Analyst,Business Analyst / BI,Communication
3693048213,EDI Business Analyst,Business Analyst / BI,Problem Solving
3693048470,Python Developer,Developer,SQL
3693048470,Python Developer,Developer,Python
3693048470,Python Developer,Developer,AWS
3693048470,Python Developer,Developer,Communication
3693048470,Python Developer,Developer,Database
3693048705,SOFTWARE ENGINEER- JPOS,Software Engineering,Java
3693048705,SOFTWARE ENGINEER- JPOS,Software Engineering,Communication
3693048744,Business Analyst,Business Analyst / BI,SQL
3693048744,Business Analyst,Business Analyst / BI,Communication
3693048882,Advisor Business Analyst,Business Analyst / BI,Excel
3693048882,Advisor Business Analyst,Business Analyst / BI,Database
3693049194,Software Developer (Azure / .NET),Software Engineering,SQL
3693049194,Software Developer (Azure / .NET),Software Engineering,Azure
3693049194,Software Developer (Azure / .NET),Software Engineering,Git
3693049194,Software Developer (Azure / .NET),Software Engineering,Communication
3693049290,Business Analyst,Business Analyst / BI,SQL
3693049290,Business Analyst,Business Analyst / BI,Tableau
3693049290,Business Analyst,Business Analyst / BI,Power BI
3693049290,Business Analyst,Business Analyst / BI,Data Visualization
3693049413,Junior Software Engineer,Software Engineering,Java
3693049413,Junior Software Engineer,Software Engineering,SAS
3693049413,Junior Software Engineer,Software Engineering,Communication
3693049706,Data Analyst,Data Analyst,SQL
3693049706,Data Analyst,Data Analyst,Python
3693049706,Data Analyst,Data Analyst,Excel
3693049706,Data Analyst,Data Analyst,Alteryx
3693049706,Data Analyst,Data Analyst,Communication
3693049941,SQL Developer,Developer,SQL
3693049941,SQL Developer,Developer,Python
3693049941,SQL Developer,Developer,Communication
3693049941,SQL Developer,Developer,Data Cleaning
3693049941,SQL Developer,Developer,Database
3693050150,Java developer,Developer,SQL
3693050150,Java developer,Developer,Java
3693050150,Java developer,Developer,Communication
3693050194,Software Engineer,Software Engineering,Java
3693050467,Software Engineer,Software Engineering,JavaScript
3693050467,Software Engineer,Software Engineering,Git
3693050467,Software Engineer,Software Engineering,Communication
3693050565,Business Analyst/ Tableau Developer,Business Analyst / BI,SQL
3693050565,Business Analyst/ Tableau Developer,Business Analyst / BI,Python
3693050565,Business Analyst/ Tableau Developer,Business Analyst / BI,Tableau
3693050565,Business Analyst/ Tableau Developer,Business Analyst / BI,Data Visualization
3693050565,Business Analyst/ Tableau Developer,Business Analyst / BI,Communication
3693050917,Data Analyst,Data Analyst,SQL
3693050917,Data Analyst,Data Analyst,Data Cleaning
3693050995,Data Analyst,Data Analyst,SQL
3693050995,Data Analyst,Data Analyst,Data Visualization
3693050995,Data Analyst,Data Analyst,SAS
3693050995,Data Analyst,Data Analyst,Communication
3693051072,Power BI Data Analyst – (Remote),Data Analyst,SQL
3693051072,Power BI Data Analyst – (Remote),Data Analyst,Excel
3693051072,Power BI Data Analyst – (Remote),Data Analyst,Power BI
3693051072,Power BI Data Analyst – (Remote),Data Analyst,Data Visualization
3693051124,Salesforce Business Analyst,Business Analyst / BI,Communication
3693051742,Embedded Software Engineer,Software Engineering,Communication
3693051829,Python Developer,Developer,Python
3693051829,Python Developer,Developer,JavaScript
3693052149,Marketing Analytics Coordinator,Analytics,Statistics
3693052149,Marketing Analytics Coordinator,Analytics,Data Visualization
3693052149,Marketing Analytics Coordinator,Analytics,Communication
3693052149,Marketing Analytics Coordinator,Analytics,Problem Solving
3693052150,Data Scientist,Data Science / ML,Python
3693052150,Data Scientist,Data Science / ML,Tableau
3693052150,Data Scientist,Data Science / ML,Statistics
3693052150,Data Scientist,Data Science / ML,Data Visualization
3693052152,Business Intelligence Analyst,Business Analyst / BI,Python
3693052152,Business Intelligence Analyst,Business Analyst / BI,Excel
3693052152,Business Intelligence Analyst,Business Analyst / BI,Tableau
3693052152,Business Intelligence Analyst,Business Analyst / BI,Data Visualization
3693052152,Business Intelligence Analyst,Business Analyst / BI,Problem Solving
3693052152,Business Intelligence Analyst,Business Analyst / BI,Database
3693052211,Business Analyst,Business Analyst / BI,Azure
3693052354,REMOTE - Servicenow Business Analyst ,Business Analyst / BI,AWS
3693052354,REMOTE - Servicenow Business Analyst ,Business Analyst / BI,Azure
3693052354,REMOTE - Servicenow Business Analyst ,Business Analyst / BI,Communication
3693052354,REMOTE - Servicenow Business Analyst ,Business Analyst / BI,Problem Solving
3693052511,DHT - Front-End Software Engineer,Software Engineering,JavaScript
3693053007,Business Analyst,Business Analyst / BI,Communication
3693053007,Business Analyst,Business Analyst / BI,Database
3693053065,Salesforce Business Analyst,Business Analyst / BI,Communication
3693053166,Data Scientist,Data Science / ML,Statistics
3693053166,Data Scientist,Data Science / ML,Data Visualization
3693053166,Data Scientist,Data Science / ML,ETL
3693053380,Application Software Engineering V,Software Engineering,SQL
3693053380,Application Software Engineering V,Software Engineering,Java
3693053380,Application Software Engineering V,Software Engineering,Communication
3693053423,Software Engineer,Software Engineering,Python
3693053423,Software Engineer,Software Engineering,Git
3693053423,Software Engineer,Software Engineering,Communication
3693053423,Software Engineer,Software Engineering,Database
3693054174,Mid-Level Java Developer(3-4 years),Developer,JavaScript
