job_id,company_id,title,role_category,location,formatted_work_type,work_type,remote_status_clean,formatted_experience_level,min_salary,max_salary,med_salary,avg_salary,pay_period,currency,technical_skill_count,views,applies,sponsored,description
3634090513,82591929.0,Software Engineer,Software Engineering,San Francisco Bay Area,Full-time,FULL_TIME,Not Specified / On-site,Not Specified,,,,,Not Specified,Not Specified,5,158.0,67.0,0,"Step into a realm where innovation merges seamlessly with technology, much like a Spielberg masterpiece captivating hearts worldwide. Embark on a journey with us at Salesfinity AI, a symphony of artificial intelligence and parallel dialer prowess, designed to propel companies toward unparalleled growth and the realization of their dreams.
As a maestro of code in the role of Full Stack Engineer at Salesfinity, you'll be the composer of change, orchestrating a revolution in sales automation. Picture yourself in the heart of San Francisco, our B2B SaaS startup's home, where we are on a dedicated mission to empower sales teams with the magic of real-time customer interactions and streamlined workflows. If your expertise in the realms of backend mysticism includes the wizardry of Node.js, an artful dance with AWS, and the craftsmanship of crafting REST APIs, then this role is your destined stage.
Your Crescendo:Your hands, skilled in the art of architecture, will craft scalable backend solutions that elevate our sales automation masterpiece. Your chosen instruments will be Node.js and its harmonious companions.Collaborating closely with our product virtuosos, you will decipher the musical notes of requirements, compose intricate APIs, and breathe life into robust features.The stage of seamless integration with third-party marvels will be your canvas, as you design and maintain RESTful APIs that harmonize with external applications and services.Enter the realm of real-time enchantment as you weave web sockets, enabling instant symphonies of customer interactions over the phone.Behind the scenes, you'll be the conductor of database design, ensuring data storage and retrieval is as smooth as the notes of a well-practiced sonata.The spotlight shall embrace you as you take ownership of product movements, from inception to grand debut, all while fine-tuning for continuous brilliance.
Your Sonata:Your mastery of Node.js and the backend shall resonate in your code - an embodiment of elegance, efficiency, and meticulous documentation.Building APIs shall be your virtuoso performance, seamlessly harmonizing with third-party melodies.The grand architecture of AWS shall be your canvas, where scalable symphonies come to life.Web sockets and their real-time rhythms shall be under your command, bringing instant magic to customer dialogues.Your understanding of databases and the rhythms of SQL and NoSQL shall add depth to the melody of your expertise.Git shall be your conductor's baton, guiding your ensemble through collaborative crescendos.Problem-solving shall be your forte, as you collaborate seamlessly across diverse sections of the orchestra.In the realm of frontend artistry, you wield the brush of React JS to paint exquisite user experiences.
Your Encore:The mystique of CI/CD pipelines and automated deployment shall echo through your achievements.Security shall be your guardian angel, as you weave the best practices into your backend creations.
The Overture of Benefits:With stock options, you'll have a front-row seat to our riveting journey of growth.Generous time off, allowing you to strike a harmonious chord between work and life's cadence.The sweet melodies of company benefits shall accompany you.The privilege of collaborating with an ensemble of ambitious and seasoned virtuosos, all united to craft a tech symphony.A dynamic, fast-paced ambiance awaits, honoring values of integrity, open discourse, and an unwavering ardor for innovation.
If your heart beats in rhythm with a Full Stack Engineer's fervor, fueled by an unwavering devotion to crafting robust backend symphonies, then the time to join is now. Let's unite in crafting the future of sales automation - our magnum opus awaits. 🚀"
3690835135,1505704.0,Enterprise Business Analyst,Business Analyst / BI,Greater Pittsburgh Region,Full-time,FULL_TIME,Not Specified / On-site,Mid-Senior level,,,,,Not Specified,Not Specified,2,323.0,192.0,0,"Job Title: Enterprise Business AnalystDepartment: Program Management OfficeLocation: Cleveland, OH and Pittsburgh, PA
Summary of the Position:
The role of a Business Analyst (BA) is a valuable member of TriState Capital’s Program Management Office (PMO). As an internal partner to bank stakeholders the BA support business case development, facilitates objectives definition, defines current/future state needs, and delivers actionable requirements. The BA defines and leads acceptance criteria and testing. Ultimately the BA is responsible for successful project origination, definition of business aligned fit-to-purpose requirements and delivery of transformative projects within the bank. TriState Capital relies on BAs to craft and deliver projects with business value in partnership with internal and external clients and other members of the PMO.
Primary Functions of the Position:
• Partner with stakeholder teams across bank business units (i.e., operations, sales, finance, risk, AML/compliance, etc.) to develop necessary analysis and documentation in a collaborative way, communicating effectively and efficiently with production, managerial, and executive teams• Evaluate, analyze, and communicate systems requirements on a continuing basis, and maintain systems processes, including the delivery of status to appropriate parties• Author and update internal and external documentation, and formally initiate and deliver requirements and documentation• Develop meaningful and lasting relationships with partners for optimized process development and systems integration• Support questions and concerns from managers and executives with research, execution, and recommendations.• Support reporting and analysis efforts within business units• Support 3-5 concurrent projects, facilitating analysis and validation activities through the lifecycle• Measure project performance using appropriate tools and techniques• Work with team members to perform risk management assessment to minimize project risks• Establishes and maintains relationships with vendors• Develops and maintains templates within the bank’s project management system
Education and Experience Requirements:
• Bachelor’s Degree or equivalent• 3-5 years business analysis experience• Banking or related financial services preferred• Strong quantitative and analytical skills• Industry recognized certifications preferred
Essential Skills and Abilities: • Proven capabilities with business analysis tools, including:• Journey maps• Process models• User stories• Requirement documentation• Affinity diagram• Traceability matrix• Excellent client facing and internal communication skills• Excellent written and verbal communication skills• Solid organizational skills and attention to detail
TriState Capital Bank provides equal employment opportunity and advance in employment to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.
TriState Capital Bank is an Equal Opportunity Employer."
3692302089,37768.0,Data Scientist/ Product Analyst ,Data Science / ML,"San Francisco, CA",Contract,CONTRACT,Not Specified / On-site,Mid-Senior level,70.0,80.0,,75.0,HOURLY,USD,6,37.0,7.0,0,"Looking for candidates with 4+ years’ experience in data science or product analyst roles with a strong background in data analysis, statistical analysis, modelling and specific experience working with product-specific data.  Note : Need some one who can work on w2. Title: Data Scientist/ Product Analyst  Location: San Francisco, CA  Duration: 6 to 7 Months   Project Overview  Drive analysis for Fitbit product teams focused on Fitbit’s products, apps, and services. Analyses include optimizing user lifetime value, improving usage and retention, evaluating content engagement, and suggesting future service innovations for growth. Deliver effective presentations of findings and recommendations to multiple levels of stakeholders, creating visual displays of quantitative information.   Overall Responsibilities Use causal inferential methods to quantify impact on product deliveries when experimentation is not available. Collaborate with cross-functional stakeholders to formulate and complete full cycle analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations. Help Google focus on key decisions to improve products and services.   Top 3 Daily Responsibilities Deep dive on core product features, user segmentation, and relation to user satisfaction and retention. Conduct data analysis to make business recommendations (e.g. cost-benefit, forecasting, impact analysis). Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for business priorities.   Mandatory Skills Bachelor's Degree or equivalent experience 4-5 years of experience Business acumen & intuition: Knowledge of structured problem-solving, communicating results, risk (e.g., considers business risks, leverages cross-functional teams) for B2C (i.e., consumer facing) products. Coding/Data extraction: Ability to extract relevant information from reading code in one or more core languages (e.g., Python, C++, SQL) and frameworks and ability to leverage the code as a resource to create work output for users or stakeholders. Experience working with highly unstructured / messy datasets and ability to clean and derive insights. Communication and active listening: Ability to clearly explain stats or domain knowledge to people not familiar with the subject matter or who lack a quant background. This includes the ability to explain reasons in a coherent, logical way that is very easy to understand by all. Leverage communication skills and active listening to manage stakeholders and to set proper technical direction for teams or orgs. Data analysis and synthesis: Ability to analyze information, draw conclusions, generate alternatives and solutions, and evaluate outcomes. This includes the ability to use data to add value to business planning and strategies. Data curation, validation, and cleaning: Ability to extract data and validate raw data to ensure it is valid and reliable and ability to clean data based on validation criteria and prepare for further analyzes. Measurement/Applied analysis: Ability to define and rationalize appropriate metrics, create pipelines and dashboards that tell a story. Ability to measure the success of a given effort. Knowledge of different frameworks/architectures/methods/data analysis, ability to select the appropriate approach for the problem context., understanding of the broader context of generating, securing, and increasing the value of the business and revenue outcomes. Modeling concepts/experimental design: Ability to apply multiple approaches and select the right analysis for the problem. Understanding of the mathematical and statistical concepts underpinning measurement, modeling, and experiments. Knowledge of essential statistical methods used to analyze data (e.g., t-tests, descriptive statistics), ability to identify and conduct appropriate basic statistical analysis to determine the basic parameters of a set of data and solve data-related problems. Product analysis leadership: Ability to interact confidently, clearly, and respectfully with others, especially senior leaders, to present, defend, and clarify concerns or issues regarding an existing product, program, or solution, ability to effectively address difficult questions, handle pushback from a high-level audience, and maintain a professional demeanor while engaging in challenging or sometimes high-pressure situations. In addition to influencing stakeholders, this includes actively managing priorities across stakeholders, teams, and projects. Project scoping, execution and influence: Ability to proactively communicate insights and influence stakeholders and subject matter experts to inform decision-making. Ability to convert and uncover open-ended real world problems within the business context into trackable metrics or a structured analytical/statistical framework, as well as the ability to generate business-related insights from data analysis in a way that is meaningful to the stakeholders. Ability to prepare effective presentations in content and function, and to speak competently to the level of the audience. Ability to identify and debug product issues and user pain-points, including the ability to carry out root cause analysis and quantitatively assess critical user journeys, think about big-picture implications, risks, and opportunities.   Self-Rating Required:  Please rate yourself on a scale of 1-5 (5 being the highest). Please list the # of years of experience you have with that particular skill.(For example: SQL- 4, 6)   Skills  Rating  Years of Experience with Skill  Business acumen & intuition    Coding/Data extraction    Communication and active listening    Data analysis and synthesis    Data curation, validation, and cleaning    Measurement/Applied Analysis    Modeling concepts/experimental design    Product analysis leadership    Project scoping, execution and influence    Provide me below information  Name of the Candidate :Current Location :Current Address :Contact Number :Email ID :Hourly Rate on W2 :Interviews or Offers in Pipeline :Interview Availability :Start Availability :Authorization Status :LinkedIn : 
Warm Regards,
Zainab Saba | Talent Acquisition Specialist – US StaffingC: 201 - 905 – 1674 ; +1 510--296 –7488 XTN 8384E: zainab.saba@milestone.tech"
3692362963,3663488.0,Software Engineer- Graphics Designer,Software Engineering,United States,Full-time,FULL_TIME,Remote Allowed,Not Specified,,,,,Not Specified,Not Specified,0,21.0,4.0,0,"Job Description
Experience with C/C++ programming and HLSL, Cg or other vendor specific shader programming language.Experience with 3D graphics APIs (Direct3D 11+, OpenGL, Vulkan and/or vendor specific).Experience optimizing both performance factors and memory footprints using hardware and software profilers (PIX, GCM Replay, Tuner, Vtune, etc.).Experience debugging graphics pipelines using relevant platform tooling (Renderdoc, Pix, Razer, etc.).Experience with multithreaded programming and with large code bases."
3692363778,2474970.0,Data Analytics Consultant,Analytics,"Sacramento, CA",Full-time,FULL_TIME,Remote Allowed,Not Specified,,,,,Not Specified,Not Specified,5,26.0,7.0,0,"About the CompanyDiLytics is a leading Information Technology (IT) Services Provider completely focused on Analytics, Business Intelligence, Data Warehousing, ETL Data Integration and Enterprise Performance Management solutions. We have been growing for 10 years with global offices in the US, Canada and India.
Title: Data Analytics ConsultantLocation: Sacramento, CA (Remote)Job Type: Full-Time
Description· Experience implementing Analytics in one or more of the following - Finance, Supply Chain, Human Resources, Sales Order Management, Procurement.· Experience implementing Analytics on one or more of the following data sources - Oracle EBS, PeopleSoft, SAP, JD Edwards.· Experience implementing Analytics on one or more of the following tools - Tableau, Power BI, Oracle Analytics Cloud.· Experience implementing Analytics on one or more of the Data Warehouse platforms - Snowflake, Oracle ADW, Azure Synapse, Redshift, Data Bricks.· Experience implementing ETL Data Integration in one or more of the following tools - Oracle Data Integrator, Azure Data Factory, Snowpark, Informatica.· 5+ years of IT experience· Amenability to do offshore (India) coordination i.e., working during hours that overlap with India time zone to a reasonable extent.· Should Travel whenever required."
3692370024,344890.0,IBM TM1 / Planning Analytics Consultants,Analytics,United States,Full-time,FULL_TIME,Remote Allowed,Mid-Senior level,,,,,Not Specified,Not Specified,1,14.0,,0,"IBM PLANNING ANALYTICS SENIOR TM1 CONSULTANTS
FANTASTIC NEW ROLE!!
In this role, you will be responsible for designing and implementing financial planning solutions using IBM Planning Analytics to achieve project success as agreed with customers; deliver technical, functional, and business outcomes of a project and maintaining high standards of professional communication.
Accountabilities include, but are not limited to:
Analysis and evaluation of business requirements through a structured methodical approachDefine the solution scope, time, cost and risk by translating business requirements into a set of functional and non-functional deliverables. Estimate and plan project deliverables and success criteriaIdentify project Risks and AssumptionsCommunicate with stakeholders, business and technical project teams to ensure the roles and responsibilities for the solution deliver are understoodImplementation of financial planning solutions in IBM Planning Analytics / TM1 as designed in the solution scope definitionIdentify all potential Change Requests and work with designated Principal Consultant/ Project Manager on these variationsParticipate in Post Implementation Review and assume ownership of any actions
 Desired Skills and Experience
Essential
Greater than 5 years’ experience in delivering financial planning applications (IBM Planning Analytics / TM1 will be highly valued);Minimum education level of Bachelor’s degree or equivalent in a relevant subject – Engineering, Mathematics, Computer Science, Business, Finance & Accounting;Proven project experience delivering financial planning solutions covering most phases of the project lifecycle including scoping, requirements gathering, design, development, testing and deployment while using project management methodologies;In-depth knowledge and senior level expertise in IBM Planning Analytics / TM1 including cube design, turbo integrator processes & rule engine; IBM Cognos TM1 Certified Developer would be an added advantage;A genuine talent for grasping complex business problems and engineering effective solutions;Excellent verbal and written communication skills
 Highly Regarded
Background in finance and understanding of financial processes such as budgeting & forecasting or supply chain roles is desirable;Well developed skills/ability researching, designing and implementing customer solutions and programs;Strong relationship management;Ability to identify opportunities and taking action to help achieve business goals;Ability to identify process improvement opportunities;Team player with a professional, pro-active approachCitizenship is highly regarded but not essential."
3693043814,,Business Analyst,Business Analyst / BI,"Pontiac, MI",Full-time,FULL_TIME,Hybrid Mentioned,Not Specified,,,,,Not Specified,Not Specified,1,58.0,32.0,0,"Business Analyst.Organization is seeking experienced business analyst to join the Application Services team working in a hybrid work environment. We are seeking a hands-on, self-starter, critical thinking team player possessing both general technical knowledge and interpersonal skills. Experienced in implementing process re-engineering, developing business requirements, use cases and test scripts using industry accepted practices. Should possess high level understanding of information technology concepts as well as the SDLC methodology. Must be flexible and able to multi-task, working on multiple projects and internal initiatives, inclusive of upgrades, maintenance, and enhancements. Under supervision, conducts business process analyses and needs assessments to align information technology solutions with the business initiatives. Supports analytical functions by assisting programmers in ascertaining user needs and adapting user procedures to final program design. Organizes and facilitates application testing and user acceptance to ensure business community’s needs are met. Acts as second and third level support for Production incidents and facilitates troubleshooting and close out of reported issues for multiple applications. Utilizes current organization wide and/or department specific software to complete assignments.
Experience Level: 4+ years
Environment: Azure DevOps, MS Visio, MS Office Suite"
3693043848,67572051.0,Data Analyst,Data Analyst,"Oklahoma City, OK",Contract,CONTRACT,Not Specified / On-site,Associate,35.0,38.0,,36.5,YEARLY,USD,3,148.0,,0,"Duration: 12 months  Job Description:Strong analytical, data modelling, and reporting skillsFamiliar with Enterprise Resource Planning table StructureComfortable digesting large volumes of data and presenting findings to executive leadershipProfessional experience using tools to interpret data such as advanced Excel functions, VBA, SQL, Python and/or TableauEducation/experience typically acquired through advanced education (e.g. Bachelor) and typically 3 or more years' related work experience or an equivalent combination of education and experience (e.g. Master+1 years' related work experience , 7 years' related work experience, etc.)."
3693043900,61677.0,Salesforce business Analyst only Local,Business Analyst / BI,"Sunnyvale, CA",Contract,CONTRACT,Not Specified / On-site,Not Specified,,,,,Not Specified,Not Specified,0,43.0,,0,"Urgent Hiring: Salesforce business AnalystLocation: Sunnyvale, CA 94086 (Onsite) 
 Must have: Client Field Service or Service Cloud hands on Configuration experience, 4-6 years minimum desirable. Experience with ServiceMax Asset 360 highly preferred. Implement new and enhance existing functionality including articulating requirements and translating them to effective solutions on Client.com and related applications which support the following stakeholders: Field Service, Service Contracts, Technical Support and Customer Support. Engage with the existing SFDC Center of Excellence to represent projects and enhancements affects the Service Organization. Work with existing SFDC Architects to implement SFDC Service functionality. Interface on a day to day basis with other analysts, business users, super users and IT team members to support business operations and drive change management Perform configuration /system changes to meet business requirements as needed. Ensure proper level of testing and documentation is completed for all work. Lead cross-functional meetings as part of requirements gathering, driving projects or providing status updates on various projects
Thanks & Regards,Inderjeet DubeyDirect: (732) 302-8853E: indubey@eteaminc.com"
3693043925,3684.0,Business Analyst- Healthcare,Business Analyst / BI,United States,Full-time,FULL_TIME,Remote Allowed,Mid-Senior level,,,,,Not Specified,Not Specified,4,740.0,273.0,0,"Our client is looking for experienced professional with a strong background in healthcare, including Pharmacy Benefit Manager (PBM) expertise. Proficient in SQL for data management and analysis. Skilled in working with messaging and event-based systems, facilitating seamless communication. Knowledgeable in optimizing prescription drug programs and navigating the complexities of healthcare dynamics for enhanced patient outcomes.
QualificationsBachelor's degree or equivalent experience10+ years of progressive experience in requirements gathering and management using both Waterfall and Agile SDLC methodologies.Extensive Healthcare experience is mandatoryPBM (Pharmacy Benefit Management) experience is mandatory Process development and implementation experience.Proficient in using SQL, Visio and Office Suite, including Word, Excel, and PowerPoint.Experience working with messaging or event-based systems
ResponsibilitiesAssists and/or leads in requirements management practices and principles.Participates and/or provides product ownership.Creates business requirement documents, user stories, use cases, and supporting diagrams including sequence diagrams as needed.Contributes to the planning process with the Scrum Master and/or project manager to plan activities including requirements gathering/refinement, design reviews, SOP/work instruction development, training, and go-live."
